title,price,link,source,rating,reviews,thumbnail,price_float
Eva-Dry E-333 Mini-Dehumidifier,$14.97,,Home Depot,4.5,662,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f38d9471e1d1b9d274a72f40f98436756f.webp,14.97
TCL 25 Pint Smart Dehumidifier,$134.99,,Target,4.2,115,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f39ca4ef9c24e520b431c4167449d2ae26.webp,134.99
Insignia 35-Pint Dehumidifier NS-DH35WH1,$189.99,,Best Buy,4.7,1200,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f3a6a43366714fffb1b47020e39a7bb737.webp,189.99
Pure Enrichment PureDry Deluxe Dehumidifier,$99.99,,Kohl's,4.0,483,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f399702bac6795436d42b4eea14efd5f66.webp,99.99
Pro Breeze Mini Portable Dehumidifier,$39.88,,Walmart,3.3,131,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f3c2bd2866bf6b88d26a58601723bf08c3.webp,39.88
"Edendirect 70 Pt. 4,500 Sq. Ft. Dehumidifier",$179.99,,Home Depot,3.7,185,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f3b423c183f622fff66cad5cf7c29fcec2.webp,179.99
Pure Enrichment PureDry Mini Dehumidifier,$69.99,,Lowe's,4.1,279,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f39ce416f1ae1fc7ba36c5b9df91055815.webp,69.99
Costway 32-Pint Portable Dehumidifier,$162.99,,Target,3.8,74,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f38b78df12a7fcef6b5204e06fd86c7642.webp,162.99
Pro Breeze Electric Compact Mini Dehumidifier,$44.99,,Home Depot,4.6,1200,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f36dd4491fd45bdd0eda4e1c8e93040a5a.webp,44.99
Midea Cube Smart Dehumidifier,$259.00,,Midea America,4.2,180,https://serpapi.com/searches/6888e36228b27b28357324cf/images/2a9d62db67f0652be9a2537e62f2a0f3dd15b993774b1906233e64873a5e0c06.webp,259.0
